,county,year,totalPopulation
0,Adams,1990,265709
1,Adams,1991,273620
2,Adams,1992,281386
3,Adams,1993,290782
4,Adams,1994,300793
5,Adams,1995,312587
6,Adams,1996,323039
7,Adams,1997,332750
8,Adams,1998,344025
9,Adams,1999,355309
10,Adams,2000,351734
11,Adams,2001,359441
12,Adams,2002,371182
13,Adams,2003,377669
14,Adams,2004,385940
15,Adams,2005,395381
16,Adams,2006,407588
17,Adams,2007,415917
18,Adams,2008,425134
19,Adams,2009,436321
20,Adams,2010,443711
21,Adams,2011,452207
22,Adams,2012,460544
23,Adams,2013,470000
24,Adams,2014,480071
25,Adams,2015,490559
26,Adams,2016,498002
27,Adams,2017,503894
28,Adams,2018,511704
29,Adams,2019,517881
30,Adams,2020,524263
31,Adams,2021,530110
32,Adams,2022,536155
33,Adams,2023,542213
34,Adams,2024,549838
35,Adams,2025,558030
36,Adams,2026,568454
37,Adams,2027,579299
38,Adams,2028,590229
39,Adams,2029,601225
40,Adams,2030,612288
41,Adams,2031,623401
42,Adams,2032,634542
43,Adams,2033,645705
44,Adams,2034,656646
45,Adams,2035,667563
46,Adams,2036,678428
47,Adams,2037,689234
48,Adams,2038,699973
49,Adams,2039,710624
50,Adams,2040,721184
51,Adams,2041,731640
52,Adams,2042,741996
53,Adams,2043,752250
54,Adams,2044,762409
55,Adams,2045,772481
56,Adams,2046,782488
57,Adams,2047,792440
58,Adams,2048,802344
59,Adams,2049,812222
60,Adams,2050,822079
61,Alamosa,1990,13617
62,Alamosa,1991,13641
63,Alamosa,1992,13572
64,Alamosa,1993,13656
65,Alamosa,1994,13826
66,Alamosa,1995,14103
67,Alamosa,1996,14319
68,Alamosa,1997,14478
69,Alamosa,1998,14621
70,Alamosa,1999,14825
71,Alamosa,2000,15097
72,Alamosa,2001,15230
73,Alamosa,2002,15271
74,Alamosa,2003,15358
75,Alamosa,2004,15412
76,Alamosa,2005,15391
77,Alamosa,2006,15353
78,Alamosa,2007,15294
79,Alamosa,2008,15345
80,Alamosa,2009,15305
81,Alamosa,2010,15474
82,Alamosa,2011,15668
83,Alamosa,2012,15644
84,Alamosa,2013,15748
85,Alamosa,2014,15772
86,Alamosa,2015,15871
87,Alamosa,2016,16037
88,Alamosa,2017,16092
89,Alamosa,2018,16229
90,Alamosa,2019,16179
91,Alamosa,2020,16240
92,Alamosa,2021,16357
93,Alamosa,2022,16554
94,Alamosa,2023,16753
95,Alamosa,2024,16962
96,Alamosa,2025,17187
97,Alamosa,2026,17409
98,Alamosa,2027,17596
99,Alamosa,2028,17766
100,Alamosa,2029,17942
101,Alamosa,2030,18114
102,Alamosa,2031,18287
103,Alamosa,2032,18464
104,Alamosa,2033,18642
105,Alamosa,2034,18816
106,Alamosa,2035,18998
107,Alamosa,2036,19184
108,Alamosa,2037,19367
109,Alamosa,2038,19546
110,Alamosa,2039,19723
111,Alamosa,2040,19895
112,Alamosa,2041,20072
113,Alamosa,2042,20250
114,Alamosa,2043,20417
115,Alamosa,2044,20579
116,Alamosa,2045,20752
117,Alamosa,2046,20909
118,Alamosa,2047,21063
119,Alamosa,2048,21225
120,Alamosa,2049,21391
121,Alamosa,2050,21546
122,Arapahoe,1990,393289
123,Arapahoe,1991,403200
124,Arapahoe,1992,417678
125,Arapahoe,1993,427474
126,Arapahoe,1994,436413
127,Arapahoe,1995,442542
128,Arapahoe,1996,451067
129,Arapahoe,1997,459061
130,Arapahoe,1998,472406
131,Arapahoe,1999,481307
132,Arapahoe,2000,490722
133,Arapahoe,2001,501667
134,Arapahoe,2002,510500
135,Arapahoe,2003,516352
136,Arapahoe,2004,523717
137,Arapahoe,2005,528217
138,Arapahoe,2006,536049
139,Arapahoe,2007,545876
140,Arapahoe,2008,556252
141,Arapahoe,2009,566477
142,Arapahoe,2010,574819
143,Arapahoe,2011,585941
144,Arapahoe,2012,596499
145,Arapahoe,2013,608262
146,Arapahoe,2014,618831
147,Arapahoe,2015,630595
148,Arapahoe,2016,638512
149,Arapahoe,2017,644086
150,Arapahoe,2018,651712
151,Arapahoe,2019,656823
152,Arapahoe,2020,662059
153,Arapahoe,2021,668237
154,Arapahoe,2022,674802
155,Arapahoe,2023,681638
156,Arapahoe,2024,688912
157,Arapahoe,2025,696535
158,Arapahoe,2026,704069
159,Arapahoe,2027,711836
160,Arapahoe,2028,719588
161,Arapahoe,2029,727043
162,Arapahoe,2030,734436
163,Arapahoe,2031,741765
164,Arapahoe,2032,749015
165,Arapahoe,2033,756145
166,Arapahoe,2034,763164
167,Arapahoe,2035,770070
168,Arapahoe,2036,776871
169,Arapahoe,2037,783571
170,Arapahoe,2038,790151
171,Arapahoe,2039,796448
172,Arapahoe,2040,802299
173,Arapahoe,2041,807707
174,Arapahoe,2042,812639
175,Arapahoe,2043,817326
176,Arapahoe,2044,821775
177,Arapahoe,2045,825978
178,Arapahoe,2046,829937
179,Arapahoe,2047,832966
180,Arapahoe,2048,835821
181,Arapahoe,2049,838530
182,Arapahoe,2050,841109
183,Archuleta,1990,5352
184,Archuleta,1991,5624
185,Archuleta,1992,5888
186,Archuleta,1993,6183
187,Archuleta,1994,6538
188,Archuleta,1995,7110
189,Archuleta,1996,7929
190,Archuleta,1997,8528
191,Archuleta,1998,9133
192,Archuleta,1999,9570
193,Archuleta,2000,10042
194,Archuleta,2001,10464
195,Archuleta,2002,10695
196,Archuleta,2003,10965
197,Archuleta,2004,11169
198,Archuleta,2005,11402
199,Archuleta,2006,11800
200,Archuleta,2007,12104
201,Archuleta,2008,12070
202,Archuleta,2009,11900
203,Archuleta,2010,12060
204,Archuleta,2011,12035
205,Archuleta,2012,12151
206,Archuleta,2013,12232
207,Archuleta,2014,12250
208,Archuleta,2015,12409
209,Archuleta,2016,12836
210,Archuleta,2017,13311
211,Archuleta,2018,13737
212,Archuleta,2019,13999
213,Archuleta,2020,14147
214,Archuleta,2021,14295
215,Archuleta,2022,14425
216,Archuleta,2023,14573
217,Archuleta,2024,14724
218,Archuleta,2025,14883
